<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.01	3750.39	3838.40	3704.29	3797.90	714626	0	0
2019.01.02	3797.89	3956.22	3765.64	3862.89	102872	0	0
2019.01.03	3862.65	3948.31	3744.64	3762.14	86006	0	0
2019.01.04	3762.15	3905.00	3717.89	3873.03	187534	0	0
2019.01.05	3873.26	3923.83	3825.88	3844.22	720544	0	0
2019.01.06	3844.11	4137.72	3801.47	4051.39	609640	0	0
2019.01.07	4051.40	4109.42	3964.89	4010.14	87259	0	0
2019.01.08	4010.14	4113.14	3941.64	3986.65	98582	0	0
2019.01.09	3987.14	4080.94	3971.39	4023.90	103275	0	0
2019.01.10	4024.64	4062.70	3548.39	3644.14	131656	0	0
2019.01.11	3644.15	3713.53	3579.14	3660.13	245335	0	0
2019.01.12	3659.36	3678.16	3598.51	3648.94	682194	0	0
2019.01.13	3649.11	3671.74	3485.14	3511.56	623003	0	0
2019.01.14	3512.06	3740.30	3508.64	3671.63	108186	0	0
2019.01.15	3672.13	3709.28	3538.14	3580.89	94507	0	0
2019.01.16	3580.89	3665.64	3571.89	3602.14	119190	0	0
2019.01.17	3602.15	3668.10	3540.89	3628.15	87150	0	0
2019.01.18	3628.64	3664.05	3576.58	3629.12	148832	0	0
2019.01.19	3629.19	3794.50	3626.19	3708.42	570740	0	0
2019.01.20	3707.11	3737.44	3496.62	3535.43	546913	0	0
2019.01.21	3534.93	3574.86	3476.83	3532.09	117137	0	0
2019.01.22	3531.59	3615.31	3418.08	3580.13	98928	0	0
2019.01.23	3581.34	3615.80	3518.09	3574.45	93084	0	0
2019.01.24	3574.70	3612.70	3526.14	3568.84	88164	0	0
2019.01.25	3568.34	3609.25	3495.85	3581.53	138067	0	0
2019.01.26	3581.55	3657.43	3563.81	3580.62	524825	0	0
2019.01.27	3580.85	3590.07	3481.27	3523.15	519495	0	0
2019.01.28	3523.35	3554.40	3369.85	3432.10	84089	0	0
2019.01.29	3456.95	3462.77	3322.50	3378.85	71592	0	0
2019.01.30	3378.85	3486.28	3375.57	3460.39	105228	0	0
2019.01.31	3459.39	3503.02	3393.13	3445.15	54158	0	0
2019.02.01	3409.13	3489.40	3368.48	3472.49	110950	0	0
2019.02.02	3472.44	3512.62	3447.81	3501.75	444716	0	0
2019.02.03	3501.87	3506.92	3388.88	3448.23	406317	0	0
2019.02.04	3417.14	3459.82	3393.68	3439.63	91789	0	0
2019.02.05	3407.43	3462.18	3396.18	3460.37	106656	0	0
2019.02.06	3415.98	3470.72	3331.78	3363.88	159412	0	0
2019.02.07	3363.89	3412.75	3351.18	3357.18	114918	0	0
2019.02.08	3389.28	3707.35	3342.38	3661.43	217827	0	0
2019.02.09	3661.57	3679.14	3627.51	3657.55	681969	0	0
2019.02.10	3657.63	3666.30	3590.38	3608.13	597147	0	0
2019.02.11	3608.63	3662.04	3544.36	3566.64	140240	0	0
2019.02.12	3566.13	3653.01	3557.48	3594.38	140923	0	0
2019.02.13	3593.94	3661.84	3559.88	3583.88	188795	0	0
2019.02.14	3583.38	3622.44	3532.14	3561.89	151816	0	0
2019.02.15	3597.51	3639.20	3543.24	3607.02	238716	0	0
2019.02.16	3607.15	3653.00	3597.41	3613.76	695494	0	0
2019.02.17	3613.75	3711.01	3583.89	3658.89	605726	0	0
2019.02.18	3659.86	3958.14	3620.89	3926.39	80641	0	0
2019.02.19	3926.14	3991.40	3842.24	3880.89	67385	0	0
2019.02.20	3880.90	3991.73	3868.39	3925.97	77110	0	0
2019.02.21	3925.72	3986.71	3864.68	3897.48	71733	0	0
2019.02.22	3895.08	3999.62	3884.12	3989.75	130058	0	0
2019.02.23	3989.61	4192.72	3952.36	4146.91	737882	0	0
2019.02.24	4146.85	4220.25	3725.01	3761.02	959552	0	0
2019.02.25	3761.27	3887.83	3737.22	3819.02	77288	0	0
2019.02.26	3819.53	3870.68	3757.84	3785.59	101666	0	0
2019.02.27	3785.60	3867.62	3647.09	3805.09	95902	0	0
2019.02.28	3805.10	3888.09	3753.59	3795.59	93104	0	0
2019.03.01	3795.59	3882.99	3792.09	3848.76	201986	0	0
2019.03.02	3848.82	3860.44	3786.74	3849.03	706588	0	0
2019.03.03	3848.95	3859.52	3758.84	3803.84	528966	0	0
2019.03.04	3803.85	3843.23	3669.09	3704.09	76226	0	0
2019.03.05	3704.10	3907.20	3690.89	3830.34	92481	0	0
2019.03.06	3830.09	3904.43	3811.34	3862.35	71863	0	0
2019.03.07	3862.10	3929.12	3826.60	3862.85	68302	0	0
2019.03.08	3863.10	3949.17	3797.97	3879.38	181402	0	0
2019.03.09	3879.26	3990.75	3869.51	3959.31	785529	0	0
2019.03.10	3959.51	3959.51	3884.91	3898.35	625614	0	0
2019.03.11	3898.85	3950.59	3812.35	3849.85	97527	0	0
2019.03.12	3849.60	3918.61	3794.60	3859.15	74319	0	0
2019.03.13	3859.86	3906.38	3824.89	3888.03	50663	0	0
2019.03.14	3850.60	3902.11	3776.80	3853.35	52822	0	0
2019.03.15	3853.36	3948.70	3845.76	3943.26	112247	0	0
2019.03.16	3943.26	4080.11	3936.28	4030.23	808938	0	0
2019.03.17	4030.19	4031.83	3962.10	3962.85	553471	0	0
2019.03.18	3962.86	4045.95	3933.60	3968.85	74893	0	0
2019.03.19	3968.86	4042.24	3946.50	3997.65	78369	0	0
2019.03.20	4039.54	4070.43	3959.16	4031.34	89456	0	0
2019.03.21	4031.35	4072.72	3909.69	3973.59	74693	0	0
2019.03.22	3973.34	4022.33	3959.29	4002.16	152750	0	0
2019.03.23	4002.21	4026.36	3977.27	4011.39	358772	0	0
2019.03.24	4011.40	4011.43	3954.14	3993.74	307116	0	0
2019.03.25	3968.09	4005.83	3845.19	3908.59	80812	0	0
2019.03.26	3908.60	3946.66	3877.64	3920.94	95271	0	0
2019.03.27	3920.95	4059.97	3911.84	4024.57	71978	0	0
2019.03.28	4024.44	4048.38	3991.25	4011.29	97228	0	0
2019.03.29	4011.34	4124.80	4001.10	4121.17	121139	0	0
2019.03.30	4121.20	4155.48	4064.19	4116.63	480388	0	0
2019.03.31	4116.66	4128.71	4084.11	4093.85	328099	0	0
2019.04.01	4093.85	4161.37	4049.86	4135.85	79131	0	0
2019.04.02	4135.60	5086.35	4131.35	4900.11	108177	0	0
2019.04.03	4900.10	5337.76	4735.52	4977.27	80804	0	0
2019.04.04	4976.03	5075.27	4776.52	4905.60	58763	0	0
2019.04.05	4907.10	5065.87	4880.28	5043.07	192935	0	0
2019.04.06	5042.76	5239.80	4923.30	5051.34	1405019	0	0
2019.04.07	5051.34	5271.27	5023.08	5188.31	1623506	0	0
2019.04.08	5188.31	5349.27	5128.88	5284.02	75426	0	0
2019.04.09	5284.52	5287.78	5140.51	5186.77	60305	0	0
2019.04.10	5186.91	5460.22	5165.31	5324.23	83069	0	0
2019.04.11	5313.91	5344.77	4959.62	5039.48	48209	0	0
2019.04.12	5039.23	5119.48	4897.43	5075.10	105505	0	0
2019.04.13	5075.27	5120.85	5023.29	5064.80	818043	0	0
2019.04.14	5064.77	5186.98	5017.15	5162.23	690497	0	0
2019.04.15	5161.98	5189.73	4938.23	5035.23	58844	0	0
2019.04.16	5027.24	5230.23	5015.83	5201.22	68967	0	0
2019.04.17	5199.97	5269.98	5163.73	5225.23	69126	0	0
2019.04.18	5225.24	5310.74	5222.48	5279.23	54831	0	0
2019.04.19	5279.23	5354.73	5195.23	5276.75	118709	0	0
2019.04.20	5276.76	5338.04	5233.17	5295.99	659679	0	0
2019.04.21	5296.00	5317.07	5190.39	5299.73	594997	0	0
2019.04.22	5299.48	5441.98	5249.23	5385.24	71365	0	0
2019.04.23	5385.23	5635.68	5356.73	5524.73	53542	0	0
2019.04.24	5525.23	5620.55	5369.44	5440.23	57880	0	0
2019.04.25	5439.23	5512.23	4945.48	5138.98	66518	0	0
2019.04.26	5138.98	5292.98	5039.73	5236.83	163048	0	0
2019.04.27	5237.02	5294.86	5194.14	5238.49	1130519	0	0
2019.04.28	5238.43	5339.47	5112.69	5155.44	1275224	0	0
2019.04.29	5156.94	5315.32	5066.94	5145.69	203030	0	0
2019.04.30	5145.94	5420.81	5127.19	5267.95	112534	0	0
2019.05.01	5268.19	5461.97	5265.19	5318.19	107579	0	0
2019.05.02	5318.20	5562.66	5301.94	5384.69	111467	0	0
2019.05.03	5384.44	5918.20	5356.69	5816.11	194428	0	0
2019.05.04	5816.64	5968.01	5666.52	5882.58	1717634	0	0
2019.05.05	5882.70	5892.76	5700.71	5709.96	1296025	0	0
2019.05.06	5710.46	5867.30	5560.21	5685.97	63209	0	0
2019.05.07	5686.22	6061.06	5686.22	5745.71	58493	0	0
2019.05.08	5746.01	6030.13	5655.81	5943.46	58235	0	0
