<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.01	00:00:00	3750.39	3763.12	3726.99	3744.50	127891	0	0
2019.01.01	04:00:00	3744.05	3776.23	3734.76	3765.84	115762	0	0
2019.01.01	08:00:00	3765.88	3785.70	3752.51	3763.53	130493	0	0
2019.01.01	12:00:00	3762.94	3806.21	3730.86	3742.45	137014	0	0
2019.01.01	16:00:00	3742.56	3762.36	3704.29	3758.24	138329	0	0
2019.01.01	20:00:00	3758.75	3838.40	3706.14	3797.90	65137	0	0
2019.01.02	00:00:00	3797.89	3879.56	3786.64	3799.14	17570	0	0
2019.01.02	04:00:00	3798.89	3865.35	3765.64	3798.64	17346	0	0
2019.01.02	08:00:00	3798.65	3883.42	3786.14	3811.15	15666	0	0
2019.01.02	12:00:00	3811.65	3882.64	3804.89	3843.89	18565	0	0
2019.01.02	16:00:00	3844.14	3874.40	3816.90	3872.14	12213	0	470
2019.01.02	20:00:00	3872.15	3956.22	3856.39	3862.89	21512	0	0
2019.01.03	00:00:00	3862.65	3948.31	3843.39	3859.15	12898	0	0
2019.01.03	04:00:00	3860.14	3921.97	3823.14	3829.64	9807	0	0
2019.01.03	08:00:00	3829.39	3912.76	3806.89	3846.65	13790	0	0
2019.01.03	12:00:00	3846.64	3908.19	3751.89	3769.14	13997	0	0
2019.01.03	16:00:00	3769.15	3838.74	3759.39	3796.65	10702	0	0
2019.01.03	20:00:00	3797.14	3858.85	3744.64	3762.14	24812	0	0
2019.01.04	00:00:00	3762.15	3843.81	3762.14	3791.39	15792	0	0
2019.01.04	04:00:00	3791.14	3869.37	3781.14	3786.39	15579	0	0
2019.01.04	08:00:00	3785.89	3851.43	3754.89	3781.14	11306	0	0
2019.01.04	12:00:00	3781.14	3805.33	3717.89	3766.14	10820	0	0
2019.01.04	16:00:00	3766.64	3824.10	3750.14	3778.89	11404	0	0
2019.01.04	20:00:00	3778.64	3905.00	3777.89	3873.03	122633	0	0
2019.01.05	00:00:00	3873.26	3919.52	3873.19	3907.20	133968	0	0
2019.01.05	04:00:00	3907.21	3923.83	3874.48	3878.09	124604	0	0
2019.01.05	08:00:00	3878.21	3901.73	3866.57	3891.55	91464	0	0
2019.01.05	12:00:00	3891.59	3902.61	3873.58	3875.71	109702	0	0
2019.01.05	16:00:00	3875.78	3902.44	3865.58	3892.87	140642	0	0
2019.01.05	20:00:00	3892.07	3893.55	3825.88	3844.22	120164	0	0
2019.01.06	00:00:00	3844.11	3856.51	3801.47	3844.52	83593	0	0
2019.01.06	04:00:00	3844.59	3851.56	3823.67	3830.62	77375	0	0
2019.01.06	08:00:00	3830.95	3879.70	3825.05	3872.12	94020	0	0
2019.01.06	12:00:00	3872.16	3888.18	3850.33	3874.46	97372	0	0
2019.01.06	16:00:00	3874.48	4137.72	3868.40	4105.50	201789	0	0
2019.01.06	20:00:00	4105.53	4113.62	4011.64	4051.39	55491	0	0
2019.01.07	00:00:00	4051.40	4109.42	4018.64	4025.14	15618	0	0
2019.01.07	04:00:00	4024.65	4079.52	4019.64	4043.64	11282	0	0
2019.01.07	08:00:00	4043.65	4048.46	3964.89	3992.90	18757	0	0
2019.01.07	12:00:00	3993.15	4062.97	3993.15	4016.89	9310	0	0
2019.01.07	16:00:00	4016.90	4070.65	3974.14	4003.64	13883	0	0
2019.01.07	20:00:00	4004.40	4056.14	3981.64	4010.14	18409	0	0
2019.01.08	00:00:00	4010.14	4064.70	3941.64	3976.64	16497	0	0
2019.01.08	04:00:00	3976.64	4027.73	3962.14	3991.14	13094	0	0
2019.01.08	08:00:00	3990.89	4076.28	3984.64	4021.14	15350	0	0
2019.01.08	12:00:00	4021.39	4113.14	3982.39	4002.89	17184	0	0
2019.01.08	16:00:00	4000.64	4075.07	3987.89	4002.14	15396	0	0
2019.01.08	20:00:00	4002.39	4057.75	3959.14	3986.65	21061	0	0
2019.01.09	00:00:00	3987.14	4067.16	3971.39	4025.14	10484	0	0
2019.01.09	04:00:00	4025.39	4078.49	3997.14	4013.15	18888	0	0
2019.01.09	08:00:00	4013.89	4080.94	3973.89	4010.14	12350	0	0
2019.01.09	12:00:00	4009.64	4036.30	3971.39	3995.65	16294	0	0
2019.01.09	16:00:00	3996.14	4039.09	3988.39	4038.10	19479	0	0
2019.01.09	20:00:00	4006.40	4043.75	3988.39	4023.90	25780	0	0
2019.01.10	00:00:00	4024.64	4055.81	4007.90	4024.89	20141	0	0
2019.01.10	04:00:00	4024.64	4062.70	3753.89	3787.65	25497	0	0
2019.01.10	08:00:00	3787.64	3796.64	3761.64	3781.89	30719	0	45
2019.01.10	12:00:00	3781.64	3819.33	3548.39	3615.40	23444	0	0
2019.01.10	16:00:00	3615.14	3816.77	3577.89	3622.39	12303	0	0
2019.01.10	20:00:00	3622.40	3673.71	3601.64	3644.14	19552	0	0
2019.01.11	00:00:00	3644.15	3682.33	3579.14	3608.39	15518	0	0
2019.01.11	04:00:00	3608.40	3670.89	3599.89	3639.64	18767	0	0
2019.01.11	08:00:00	3640.15	3690.41	3607.64	3629.89	17915	0	0
2019.01.11	12:00:00	3629.14	3685.44	3611.64	3642.14	14624	0	0
2019.01.11	16:00:00	3641.89	3685.72	3638.64	3651.64	13011	0	0
2019.01.11	20:00:00	3651.14	3713.53	3586.29	3660.13	165500	0	0
2019.01.12	00:00:00	3659.36	3675.92	3636.20	3666.47	132236	0	0
2019.01.12	04:00:00	3666.77	3666.77	3638.21	3652.00	86091	0	0
2019.01.12	08:00:00	3652.03	3655.19	3629.61	3641.87	115991	0	0
2019.01.12	12:00:00	3641.10	3672.01	3598.51	3656.87	134682	0	0
2019.01.12	16:00:00	3656.79	3666.07	3640.75	3661.56	97642	0	0
2019.01.12	20:00:00	3661.53	3678.16	3625.89	3648.94	115552	0	0
2019.01.13	00:00:00	3649.11	3656.53	3627.93	3654.75	107081	0	0
2019.01.13	04:00:00	3654.58	3658.32	3633.30	3646.68	96302	0	0
2019.01.13	08:00:00	3646.68	3651.69	3627.94	3650.96	74560	0	0
2019.01.13	12:00:00	3650.93	3671.74	3617.41	3642.01	116837	0	0
2019.01.13	16:00:00	3642.01	3642.79	3510.85	3529.90	187209	0	0
2019.01.13	20:00:00	3529.90	3541.10	3485.14	3511.56	41014	0	0
2019.01.14	00:00:00	3512.06	3556.26	3508.64	3527.12	18857	0	0
2019.01.14	04:00:00	3527.37	3573.31	3521.86	3531.11	17948	0	0
2019.01.14	08:00:00	3531.61	3572.10	3518.09	3541.09	16255	0	0
2019.01.14	12:00:00	3541.34	3700.31	3524.86	3659.34	18843	0	0
2019.01.14	16:00:00	3659.59	3715.29	3658.34	3669.83	14095	0	0
