<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.06	3844.11	4137.72	3548.39	3648.94	1957941	0	0
2019.01.13	3649.11	3794.50	3485.14	3708.42	1751608	0	0
2019.01.20	3707.11	3737.44	3418.08	3580.62	1607118	0	0
2019.01.27	3580.85	3590.07	3322.50	3501.75	1390228	0	0
2019.02.03	3501.87	3707.35	3331.78	3657.55	1778888	0	0
2019.02.10	3657.63	3666.30	3532.14	3613.76	2153131	0	0
2019.02.17	3613.75	4192.72	3583.89	4146.91	1770535	0	0
2019.02.24	4146.85	4220.25	3647.09	3849.03	2236086	0	0
2019.03.03	3848.95	3990.75	3669.09	3959.31	1804769	0	0
2019.03.10	3959.51	4080.11	3776.80	4030.23	1822130	0	0
2019.03.17	4030.19	4072.72	3909.69	4011.39	1382404	0	0
2019.03.24	4011.40	4155.48	3845.19	4116.63	1253932	0	0
2019.03.31	4116.66	5337.76	4049.86	5051.34	2252928	0	0
2019.04.07	5051.34	5460.22	4897.43	5064.80	2814063	0	0
2019.04.14	5064.77	5354.73	4938.23	5295.99	1720653	0	0
2019.04.21	5296.00	5635.68	4945.48	5238.49	2137869	0	0
2019.04.28	5238.43	5968.01	5066.94	5882.58	3721896	0	0
2019.05.05	5882.70	7376.54	5560.21	7179.94	4199634	0	0
2019.05.12	7179.62	8387.46	6504.33	7256.38	6145476	0	0
2019.05.19	7256.19	8313.45	7246.91	8056.53	4644215	0	0
2019.05.26	8056.70	9075.12	7879.73	8537.62	3603843	0	0
2019.06.02	8538.22	8815.24	7413.00	7916.57	3276271	0	0
2019.06.09	7917.00	8900.46	7499.99	8848.24	3357158	0	0
2019.06.16	8848.13	11199.09	8791.03	10677.38	7037016	0	0
2019.06.23	10677.45	13849.59	10229.10	11877.08	9261989	0	0
2019.06.30	11877.10	12197.05	9618.36	11234.57	7599255	0	0
2019.07.07	11234.06	13183.53	10811.34	11332.70	5702005	0	0
2019.07.14	11333.31	11432.72	9026.89	10727.81	6527088	0	0
2019.07.21	10727.88	10814.47	9290.92	9447.90	4542430	0	0
2019.07.28	9449.37	10906.30	9095.09	10802.79	3299140	0	0
2019.08.04	10802.84	12322.34	10546.45	11216.81	4433709	0	0
2019.08.11	11217.02	11558.25	9470.15	10215.47	4502075	0	0
2019.08.18	10215.82	10951.84	9749.15	10141.29	3695818	0	0
2019.08.25	10140.95	10632.59	9265.84	9587.82	3481764	0	0
2019.09.01	9587.19	10939.34	9525.99	10447.63	3063680	0	0
2019.09.08	10447.72	10572.96	9866.88	10360.97	2775188	0	0
2019.09.15	10361.14	10383.97	9597.34	9977.54	2374672	0	0
2019.09.22	9977.56	10091.34	7704.84	8213.27	3360421	0	0
2019.09.29	8213.53	8515.02	7692.67	8145.61	2579526	0	0
2019.10.06	8145.60	8806.94	7759.25	8298.56	2682157	0	0
2019.10.13	8297.23	8466.74	7786.10	7965.64	2598161	0	0
2019.10.20	7965.56	10409.22	7250.42	9246.44	7175926	0	0
2019.10.27	9246.57	9932.60	8943.60	9298.13	3745829	0	0
2019.11.03	9298.24	9552.60	8633.60	8803.17	2632619	0	0
2019.11.10	8803.22	9126.41	8318.10	8479.08	2449746	0	0
2019.11.17	8479.14	8632.21	6752.60	7323.39	3180529	0	0
2019.11.24	7323.31	7870.60	6518.60	7561.19	3418519	0	0
2019.12.01	7560.10	7730.11	7076.74	7503.76	3286985	0	0
2019.12.08	7503.81	7637.10	7005.58	7067.61	1984669	0	0
2019.12.15	7067.62	7427.29	6391.04	7142.16	2001982	0	0
2019.12.22	7141.99	7687.79	7035.29	7301.75	3520487	0	0
2019.12.29	7301.68	7519.65	6851.79	7343.15	3117813	0	0
2020.01.05	7342.99	8452.40	7294.41	8013.30	3116123	0	0
2020.01.12	8011.36	9010.28	7945.13	8896.32	3102783	0	0
2020.01.19	8894.03	9167.84	8209.79	8319.22	3015858	0	0
2020.01.26	8319.46	9566.78	8271.58	9373.55	2663732	0	0
2020.02.02	9373.54	9931.73	9037.79	9881.78	3149164	0	0
2020.02.09	9881.52	10502.78	9686.28	9897.09	3385807	0	0
2020.02.16	9897.27	10307.29	9266.29	9658.31	3556864	0	0
2020.02.23	9658.55	10026.29	8422.79	8524.32	4134722	0	0
2020.03.01	8524.59	9211.70	8394.34	8894.65	3810337	0	0
2020.03.08	8894.44	8894.44	3771.79	5161.84	7241611	0	0
2020.03.15	5162.54	6917.99	4417.29	6184.00	7528265	0	0
2020.03.22	6185.41	6980.47	5666.63	6248.23	5256192	0	0
2020.03.29	6246.70	7253.42	5722.29	6869.96	3605656	0	0
2020.04.05	6869.70	7468.61	6676.44	6882.63	3401136	0	0
2020.04.12	6882.29	7294.02	6466.05	7256.76	3539080	0	0
2020.04.19	7257.49	7762.67	6747.86	7540.06	3110794	0	0
2020.04.26	7540.23	9470.07	7474.90	8974.55	3451809	0	0
2020.05.03	8974.96	10066.89	8528.94	9519.06	4901378	0	0
2020.05.10	9520.35	9916.24	8071.58	9373.33	7666770	0	0
2020.05.17	9373.25	9942.49	8785.19	9171.68	4415322	0	0
2020.05.24	9171.75	9731.58	8622.49	9697.03	4150314	0	0
2020.05.31	9697.38	10363.89	9222.59	9659.04	4136909	0	0
2020.06.07	9660.20	9997.22	9001.74	9470.45	3741725	0	0
2020.06.14	9470.49	9586.59	8894.74	9351.85	3182599	0	0
2020.06.21	9351.21	9758.29	8821.37	8998.68	3295543	0	0
2020.06.28	8998.65	9299.17	8920.68	9133.80	2616370	0	0
2020.07.05	9134.06	9474.59	8892.44	9229.66	2321347	0	0
2020.07.12	9229.81	9342.39	9024.14	9173.26	2234059	0	0
2020.07.19	9173.57	9743.89	9099.29	9705.15	2618306	0	0
2020.07.26	9704.66	11853.98	9652.81	11793.99	4649204	0	0
2020.08.02	11794.20	12087.92	10528.42	11764.60	5512811	0	0
2020.08.09	11764.46	12077.58	11110.43	11856.84	4047887	0	0
2020.08.16	11856.97	12460.57	11362.33	11671.04	3405613	0	0
2020.08.23	11671.12	11817.94	11123.86	11469.57	2865873	0	0
2020.08.30	11469.93	12051.44	9826.74	10163.57	5560544	0	0
2020.09.06	10161.16	10488.15	9861.06	10433.32	4631406	0	0
2020.09.13	10433.62	11177.02	10207.07	11076.55	3214146	0	0
2020.09.20	11076.55	11077.28	10136.86	10736.63	3168072	0	0
2020.09.27	10736.32	10959.83	10384.60	10549.77	2660717	0	0
2020.10.04	10548.09	11473.06	10518.45	11297.40	2729751	0	0
2020.10.11	11297.34	11716.28	11179.88	11358.40	2675074	0	0
2020.10.18	11358.69	13192.81	11344.11	13096.32	3361026	0	0
2020.10.25	13095.80	14005.35	12781.21	13756.33	5354087	0	0
2020.11.01	13757.01	15924.17	13200.28	14823.53	6857350	0	0
2020.11.08	14824.79	16482.00	14728.68	16056.32	7078365	0	0
2020.11.15	16057.15	18914.50	15777.21	18656.45	7905117	0	0
2020.11.22	18656.82	19464.51	16243.73	17723.10	9799174	0	0
2020.11.29	17718.52	19897.59	17524.28	19127.67	8353886	0	0
2020.12.06	19128.54	19417.07	17565.42	18806.86	6975154	0	0
2020.12.13	18807.50	24123.23	18711.53	23813.17	10982064	0	0
2020.12.20	23811.13	26756.12	22005.63	26430.77	14763215	0	0
2020.12.27	26432.37	33241.01	25863.61	32181.44	25755238	0	0
2021.01.03	32184.82	41902.82	28290.13	40217.14	39339556	0	0
2021.01.10	40206.56	41425.05	30331.21	35991.45	39855211	0	0
2021.01.17	35990.76	37831.63	28824.93	32085.13	31102740	0	0
2021.01.24	32083.98	38573.74	29204.36	34302.97	31739735	0	0
2021.01.31	34305.56	40947.90	32187.10	39209.03	27370238	0	0
2021.02.07	39195.84	48919.35	37315.65	47195.40	32155038	0	0
2021.02.14	47198.59	57533.99	45654.30	55837.43	36188891	0	0
2021.02.21	55815.76	58348.73	44074.88	46168.13	42378867	0	0
2021.02.28	46160.28	52570.01	43006.41	48866.71	40544802	0	0
2021.03.07	48869.42	61655.54	48869.42	61062.82	37348448	0	0
2021.03.14	61070.28	61565.57	53228.63	58099.18	36716069	0	0
2021.03.21	58100.11	58580.51	48000.00	55786.66	35849349	0	0
2021.03.28	55780.13	60056.59	54661.51	56985.49	30802096	0	0
2021.04.04	56990.60	61065.18	55432.77	59756.55	30430837	0	0
2021.04.11	59761.66	64814.31	59131.72	59948.47	32377935	0	0
2021.04.18	59948.64	60367.22	47435.31	50067.54	53397718	0	0
2021.04.25	50071.81	58445.58	47013.34	57779.59	34538698	0	0
2021.05.02	57782.29	59496.10	52843.49	58893.05	37578584	0	0
2021.05.09	58894.75	59498.45	45809.95	46739.72	46542786	0	0
2021.05.16	46745.76	49787.66	29320.56	37474.51	54500220	0	0
2021.05.23	37474.47	40786.07	31107.82	34550.66	53639465	0	0
2021.05.30	34562.19	39394.14	33305.55	35496.98	31409587	0	0
2021.06.06	35493.09	38251.66	31004.64	35505.27	25358496	0	0
2021.06.13	35499.92	41181.21	34736.24	35472.56	28247759	0	0
2021.06.20	35475.14	36124.87	29054.99	32246.12	30440482	0	0
2021.06.27	32248.60	36564.77	31997.21	34685.93	22835696	0	0
2021.07.04	34686.87	35936.80	31984.76	33487.51	15666435	0	0
2021.07.11	33475.13	34575.71	30950.86	31531.10	14836639	0	0
2021.07.18	31532.01	34511.96	29247.99	34272.33	16473109	0	0
2021.07.25	34273.82	42334.58	33858.16	41434.33	21602038	0	0
2021.08.01	41437.48	44670.38	37209.04	44559.64	28117246	0	0
2021.08.08	44564.83	48105.92	42672.60	47080.72	28068749	0	0
2021.08.15	47075.59	49758.14	43861.02	48812.53	25961084	0	0
2021.08.22	48814.00	50449.49	46298.75	48886.77	21055677	0	0
2021.08.29	48888.18	50949.51	46456.22	49902.99	22090049	0	0
2021.09.05	49891.39	52864.33	43008.87	45150.77	23158435	0	0
2021.09.12	45151.07	48784.88	43403.79	48284.63	21016909	0	0
2021.09.19	48288.83	48365.43	39576.10	42683.64	23913729	0	0
2021.09.26	42681.33	48448.44	40712.77	47644.38	12923082	0	0
2021.10.03	47647.45	55957.50	46907.77	54912.56	763114	0	24
2021.10.10	54904.82	62813.91	54034.61	60811.95	703209	0	481
2021.10.17	60812.69	66979.02	58910.19	61262.44	753812	0	537
2021.10.24	61250.34	63701.25	57961.78	61872.67	706754	0	581
2021.10.31	61859.73	64258.56	59531.03	61528.03	756056	0	595
2021.11.07	61528.27	68988.82	61332.20	64361.86	623296	0	120
2021.11.14	64356.49	66332.08	55602.60	59701.59	1016591	0	556
2021.11.21	59700.32	60049.71	53492.12	54734.57	899488	0	65
2021.11.28	54729.37	59203.64	42048.41	49216.46	980462	0	66
2021.12.05	49221.75	51935.91	46732.53	49386.41	939251	0	472
2021.12.12	49390.21	50777.48	45438.01	46838.62	726694	0	455
2021.12.19	46841.46	51864.87	45554.61	50389.01	555544	0	350
2021.12.26	50389.01	52091.40	45666.58	47721.35	554872	0	200
2022.01.02	47722.44	47948.58	40469.55	41655.10	548743	0	406
2022.01.09	41655.76	44432.02	39652.16	43079.83	688176	0	397
2022.01.16	43081.78	43498.12	34006.19	35051.91	885145	0	362
2022.01.23	35052.68	38915.30	32956.53	38174.09	1387531	0	330
2022.01.30	38181.15	41929.39	36261.42	41405.08	977749	0	363
2022.02.06	41401.20	45807.72	41135.04	42195.53	1215714	0	84
2022.02.13	42196.60	44754.31	39484.26	40103.24	896058	0	77
2022.02.20	40104.73	40258.99	34361.16	39108.52	1648568	0	37
2022.02.27	39109.01	45291.00	37359.51	39378.69	1293692	0	41
2022.03.06	39380.99	42570.58	37162.19	38785.20	980734	0	49
2022.03.13	38788.02	42395.51	37550.11	42215.17	896290	0	376
2022.03.20	42216.75	45101.73	40509.46	44529.67	672283	0	405
2022.03.27	44532.67	48186.11	44222.37	45804.41	650439	0	206
2022.04.03	45806.85	47389.28	42107.55	42744.42	614543	0	66
2022.04.10	42747.29	43423.51	39210.39	40366.50	648491	0	2
2022.04.17	40366.78	42978.75	38562.28	39441.35	545738	0	386
2022.04.24	39439.28	40777.73	37569.34	37614.37	616156	0	12
2022.05.01	37617.66	40008.68	34776.16	35456.69	725169	0	97
2022.05.08	35458.47	35474.95	26350.09	30054.75	3097726	0	18
2022.05.15	30054.81	31441.52	28635.91	29433.08	1338079	0	228
2022.05.22	29431.11	30653.10	28010.46	29023.72	1118715	0	21
2022.05.29	29024.39	32378.60	28820.66	29838.87	1046998	0	259
2022.06.05	29841.22	31753.48	28084.62	28386.26	1268619	0	58
2022.06.12	28390.47	28514.75	17590.00	18959.03	3169299	0	87
2022.06.19	18959.38	21707.22	17920.83	21469.16	1769649	0	160
2022.06.26	21468.21	21842.78	18646.24	19218.76	1343721	0	4
2022.07.03	19216.30	22181.76	18751.06	21586.86	1362800	0	54
2022.07.10	21584.71	21594.99	18931.91	21196.04	1616636	0	107
2022.07.17	21195.75	24265.41	20748.98	22438.42	1045067	0	208
2022.07.24	22439.78	24636.76	20726.63	23637.07	1096860	0	2
2022.07.31	23639.66	24184.10	22425.72	22951.02	953279	0	224
2022.08.07	22951.37	24864.55	22682.34	24433.17	957440	0	227
2022.08.14	24439.66	25195.19	20749.31	21125.86	620673	0	196
2022.08.21	21126.01	21845.33	19789.62	20022.62	269482	0	205
2022.08.28	20022.10	20554.93	19542.61	19832.28	292852	0	195
2022.09.04	19832.46	21802.59	18583.93	21655.40	382165	0	148
2022.09.11	21653.69	22724.85	19365.19	20105.70	407696	0	194
2022.09.18	20105.60	20109.27	18192.86	18922.17	408050	0	182
2022.09.25	18922.39	20363.61	18525.26	19316.39	375023	0	185
2022.10.02	19316.16	20440.75	18924.27	19421.64	295165	0	189
2022.10.09	19421.50	19888.70	18244.65	19070.50	423446	0	155
2022.10.16	19067.70	19689.37	18720.69	19217.25	387716	0	104
2022.10.23	19217.30	21057.97	19069.40	20811.37	669724	0	192
2022.10.30	20811.50	21470.61	20060.96	21295.33	469386	0	201
2022.11.06	21296.19	21356.45	15586.03	16795.86	679615	0	156
2022.11.13	16797.54	17119.44	15827.00	16690.81	812572	0	158
2022.11.20	16692.15	16787.36	15518.25	16466.57	1060073	0	11
2022.11.27	16467.06	17240.81	16015.17	16895.67	621460	0	28
2022.12.04	16895.75	17398.76	16707.34	17125.97	563117	0	167
2022.12.11	17125.89	18366.32	16535.62	16775.77	587174	0	64
2022.12.18	16774.63	17051.59	16267.94	16844.73	574849	0	242
2022.12.25	16844.74	16973.87	16334.03	16532.74	569110	0	96
2023.01.01	16532.88	17030.80	16492.71	16937.58	572054	0	371
2023.01.08	16935.14	21273.47	16900.05	20953.41	610381	0	155
2023.01.15	20950.39	23323.07	20392.39	22781.64	632678	0	388
2023.01.22	22781.63	23798.96	22315.34	23003.97	626232	0	622
2023.01.29	23003.96	24228.28	22507.33	23320.78	613821	0	572
2023.02.05	23317.58	23428.43	21470.21	21858.65	606248	0	587
2023.02.12	21857.31	25217.17	21363.02	24607.91	623539	0	389
2023.02.19	24608.43	25224.88	22759.04	23147.78	630180	0	454
2023.02.26	23150.77	23978.04	21983.15	22332.52	610859	0	419
2023.03.05	22332.52	22633.68	19556.17	20587.04	623049	0	234
2023.03.12	20587.38	27761.68	20417.15	26949.56	692284	0	16
2023.03.19	26952.21	28865.12	26629.82	27474.14	657982	0	56
2023.03.26	27474.50	29172.35	26507.93	28455.55	615909	0	53
2023.04.02	28456.32	28774.29	27194.32	27931.03	598005	0	295
2023.04.09	27933.23	31000.28	27800.49	30315.75	598730	0	622
2023.04.16	30311.04	30554.44	27113.94	27802.23	610856	0	101
2023.04.23	27805.05	30038.61	26966.57	29254.84	627832	0	32
2023.04.30	29256.06	29957.40	27651.36	28914.09	659023	0	288
2023.05.07	28913.89	29195.09	25820.09	26788.31	881943	0	458
2023.05.14	26786.65	27683.92	26365.49	27122.99	769304	0	220
2023.05.21	27121.47	27496.71	25869.09	26877.10	725331	0	687
2023.05.28	26878.33	28480.71	26487.94	27077.28	753814	0	250
2023.06.04	27078.63	27474.14	25342.17	25868.25	838528	0	675
2023.06.11	25866.84	26777.25	24762.05	26518.79	809708	0	439
2023.06.18	26519.05	31407.20	26252.07	30548.04	876989	0	59
2023.06.25	30549.05	31273.40	29458.69	30594.60	994090	0	237
2023.07.02	30593.20	31496.43	29704.59	30295.43	875677	0	194
2023.07.09	30296.12	31802.70	29907.00	30277.96	958917	0	311
2023.07.16	30278.90	30444.85	29511.87	29780.34	776071	0	542
2023.07.23	29781.31	30345.10	28847.75	29350.52	804367	0	419
