<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.25	16:36:00	87051.05	87057.28	86995.88	86995.88	71	0	1260
2025.11.25	16:37:00	87000.76	87079.6	86971.29	87035.69	93	0	1260
2025.11.25	16:38:00	87037.07	87037.07	86995.62	87015.42	41	0	1260
2025.11.25	16:39:00	87014.92	87018.07	86991.41	87008.31	39	0	1260
2025.11.25	16:40:00	87008.47	87059.1	87008.47	87031.26	57	0	1260
2025.11.25	16:41:00	87037.35	87084.93	87002.42	87067.97	67	0	1260
2025.11.25	16:42:00	87067.72	87148.42	87050.9	87139.37	65	0	1260
2025.11.25	16:43:00	87138.69	87154.19	87110.61	87123.55	46	0	1260
2025.11.25	16:44:00	87125.12	87132.52	87047.48	87055.92	76	0	1260
2025.11.25	16:45:00	87053.98	87057.12	86895.22	86895.22	96	0	1260
2025.11.25	16:46:00	86895.59	86972.89	86895.59	86964.21	107	0	1260
2025.11.25	16:47:00	86958.53	87011.37	86931.33	86931.33	87	0	1260
2025.11.25	16:48:00	86928.14	86986.05	86912.2	86976.0	80	0	1260
2025.11.25	16:49:00	86975.84	86979.4	86923.71	86969.12	69	0	1260
2025.11.25	16:50:00	86968.01	87081.27	86968.01	87076.05	88	0	1260
2025.11.25	16:51:00	87075.19	87096.53	87008.66	87022.03	66	0	1260
2025.11.25	16:52:00	87022.37	87065.64	87021.04	87030.5	61	0	1260
2025.11.25	16:53:00	87027.86	87110.03	87027.86	87047.94	77	0	1260
2025.11.25	16:54:00	87049.45	87055.15	87025.08	87055.15	30	0	1260
2025.11.25	16:55:00	87050.79	87050.79	86961.08	86964.59	52	0	1260
2025.11.25	16:56:00	86968.89	87000.28	86947.73	87000.28	54	0	1260
2025.11.25	16:57:00	86995.0	87085.3	86995.0	87085.3	58	0	1260
2025.11.25	16:58:00	87088.89	87088.89	87052.68	87058.36	23	0	1260
2025.11.25	16:59:00	87061.88	87116.57	87060.44	87066.89	43	0	1260
2025.11.25	17:00:00	87068.01	87182.82	87058.57	87128.99	130	0	1260
2025.11.25	17:01:00	87128.48	87137.61	87058.95	87058.95	90	0	1260
2025.11.25	17:02:00	87057.64	87118.72	87011.16	87089.89	65	0	1260
2025.11.25	17:03:00	87088.38	87096.76	87029.5	87041.47	76	0	1260
2025.11.25	17:04:00	87046.39	87053.04	86989.96	86994.63	68	0	1260
2025.11.25	17:05:00	86993.67	87107.19	86993.67	87107.19	60	0	1260
2025.11.25	17:06:00	87104.67	87126.05	87075.99	87099.92	58	0	1260
2025.11.25	17:07:00	87099.49	87099.49	87029.97	87062.06	101	0	1260
2025.11.25	17:08:00	87063.65	87082.53	87019.45	87024.33	56	0	1260
2025.11.25	17:09:00	87022.48	87119.29	87022.48	87119.29	53	0	1260
2025.11.25	17:10:00	87120.17	87221.53	87104.21	87220.08	91	0	1260
2025.11.25	17:11:00	87222.93	87369.31	87199.32	87236.51	167	0	1260
2025.11.25	17:12:00	87237.99	87279.66	87237.99	87240.45	71	0	1260
2025.11.25	17:13:00	87243.29	87345.81	87243.29	87334.42	60	0	1260
