<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	1.14609	1.14967	1.13088	1.13392	151757	0	2
2019.01.03	1.13392	1.14107	1.13370	1.14049	106673	0	5
2019.01.04	1.14049	1.14187	1.13453	1.13955	81580	0	2
2019.01.06	1.13945	1.14132	1.13945	1.14088	6594	0	5
2019.01.07	1.14089	1.14841	1.14075	1.14674	61446	0	3
2019.01.08	1.14674	1.14690	1.14216	1.14561	65269	0	2
2019.01.09	1.14560	1.15587	1.14387	1.15554	86496	0	2
2019.01.10	1.15554	1.15698	1.14844	1.15113	76296	0	2
2019.01.11	1.15113	1.15400	1.14576	1.14626	71699	0	2
2019.01.13	1.14552	1.14681	1.14542	1.14623	5341	0	6
2019.01.14	1.14623	1.14816	1.14501	1.14762	64563	0	4
2019.01.15	1.14763	1.14893	1.13813	1.14101	85661	0	3
2019.01.16	1.14101	1.14244	1.13773	1.13976	66783	0	4
2019.01.17	1.13976	1.14056	1.13697	1.13936	68955	0	4
2019.01.18	1.13936	1.14099	1.13528	1.13655	57698	0	4
2019.01.20	1.13609	1.13769	1.13587	1.13739	4314	0	4
2019.01.21	1.13739	1.13907	1.13563	1.13679	41583	0	3
2019.01.22	1.13679	1.13735	1.13356	1.13638	59676	0	3
2019.01.23	1.13638	1.13940	1.13505	1.13868	61155	0	3
2019.01.24	1.13868	1.13911	1.12889	1.13097	93664	0	3
2019.01.25	1.13097	1.14172	1.13048	1.14051	75524	0	4
2019.01.27	1.14036	1.14184	1.13997	1.14111	5843	0	8
2019.01.28	1.14111	1.14432	1.13897	1.14263	59655	0	4
2019.01.29	1.14263	1.14498	1.14108	1.14344	77871	0	2
2019.01.30	1.14344	1.15013	1.14057	1.14874	80995	0	3
2019.01.31	1.14874	1.15139	1.14353	1.14478	77031	0	4
2019.02.01	1.14478	1.14880	1.14339	1.14529	65920	0	4
2019.02.03	1.14512	1.14595	1.14475	1.14552	5355	0	3
2019.02.04	1.14552	1.14600	1.14239	1.14354	56081	0	4
2019.02.05	1.14354	1.14401	1.14007	1.14061	51756	0	3
2019.02.06	1.14061	1.14067	1.13603	1.13641	51495	0	2
2019.02.07	1.13641	1.13662	1.13242	1.13399	55511	0	2
2019.02.08	1.13399	1.13505	1.13206	1.13217	42321	0	3
2019.02.10	1.13220	1.13251	1.13142	1.13231	5528	0	8
2019.02.11	1.13231	1.13296	1.12675	1.12757	47058	0	2
2019.02.12	1.12757	1.13392	1.12573	1.13274	52023	0	4
2019.02.13	1.13275	1.13410	1.12488	1.12638	59599	0	3
2019.02.14	1.12638	1.13095	1.12493	1.12923	67902	0	3
2019.02.15	1.12923	1.13058	1.12336	1.12905	60591	0	3
2019.02.17	1.12960	1.13046	1.12886	1.13025	4869	0	5
2019.02.18	1.13025	1.13335	1.12945	1.13052	38810	0	4
2019.02.19	1.13052	1.13571	1.12750	1.13496	65113	0	3
2019.02.20	1.13496	1.13707	1.13243	1.13423	63044	0	3
2019.02.21	1.13423	1.13660	1.13197	1.13388	73859	0	4
2019.02.22	1.13387	1.13552	1.13157	1.13303	55192	0	4
2019.02.24	1.13410	1.13478	1.13270	1.13475	5752	0	2
2019.02.25	1.13475	1.13671	1.13364	1.13608	54872	0	3
2019.02.26	1.13608	1.14024	1.13447	1.13902	63799	0	3
2019.02.27	1.13902	1.14032	1.13619	1.13745	62506	0	3
2019.02.28	1.13745	1.14192	1.13590	1.13695	71658	0	2
2019.03.01	1.13694	1.14081	1.13529	1.13626	61272	0	4
2019.03.03	1.13816	1.13848	1.13673	1.13690	5848	0	3
2019.03.04	1.13690	1.13701	1.13087	1.13337	57786	0	3
2019.03.05	1.13338	1.13381	1.12892	1.13003	57374	0	2
2019.03.06	1.13003	1.13243	1.12852	1.13114	50079	0	4
2019.03.07	1.13114	1.13198	1.11756	1.11907	70924	0	4
2019.03.08	1.11906	1.12457	1.11848	1.12324	64179	0	4
2019.03.10	1.12301	1.12374	1.12226	1.12276	4146	0	3
2019.03.11	1.12276	1.12735	1.12214	1.12588	58887	0	4
2019.03.12	1.12588	1.13046	1.12487	1.12875	68392	0	2
2019.03.13	1.12876	1.13383	1.12770	1.13269	55010	0	2
2019.03.14	1.13269	1.13356	1.12938	1.13055	63694	0	3
2019.03.15	1.13055	1.13439	1.12996	1.13237	46415	0	4
2019.03.17	1.13206	1.13273	1.13186	1.13204	4057	0	3
2019.03.18	1.13204	1.13586	1.13197	1.13374	43537	0	3
2019.03.19	1.13374	1.13612	1.13363	1.13466	42811	0	5
2019.03.20	1.13466	1.14477	1.13350	1.14313	68440	0	3
2019.03.21	1.14313	1.14369	1.13420	1.13666	70401	0	4
2019.03.22	1.13667	1.13903	1.12729	1.13006	76333	0	4
2019.03.24	1.12932	1.12985	1.12885	1.12895	4116	0	4
2019.03.25	1.12897	1.13310	1.12897	1.13173	61128	0	3
2019.03.26	1.13173	1.13256	1.12609	1.12668	63287	0	4
2019.03.27	1.12668	1.12852	1.12418	1.12478	81865	0	8
2019.03.28	1.12478	1.12609	1.12132	1.12318	72596	0	4
2019.03.29	1.12317	1.12463	1.12094	1.12166	67096	0	2
2019.03.31	1.12262	1.12309	1.12193	1.12227	3413	0	3
2019.04.01	1.12229	1.12496	1.11981	1.12046	64582	0	4
2019.04.02	1.12047	1.12157	1.11833	1.12028	59300	0	4
2019.04.03	1.12028	1.12543	1.12016	1.12442	56065	0	4
2019.04.04	1.12441	1.12472	1.12056	1.12219	52244	0	4
2019.04.05	1.12219	1.12476	1.12096	1.12152	46526	0	4
2019.04.07	1.12148	1.12211	1.12101	1.12178	3463	0	2
2019.04.08	1.12178	1.12741	1.12144	1.12554	41711	0	2
2019.04.09	1.12554	1.12838	1.12551	1.12651	45362	0	3
2019.04.10	1.12651	1.12872	1.12300	1.12755	55431	0	3
2019.04.11	1.12755	1.12870	1.12495	1.12598	48387	0	3
2019.04.12	1.12595	1.13235	1.12569	1.12981	45245	0	3
2019.04.14	1.13020	1.13070	1.12986	1.13026	3507	0	2
2019.04.15	1.13026	1.13205	1.12972	1.13039	40870	0	3
2019.04.16	1.13039	1.13135	1.12783	1.12842	57783	0	4
2019.04.17	1.12842	1.13234	1.12810	1.12961	48298	0	2
2019.04.18	1.12961	1.13037	1.12258	1.12346	58634	0	3
2019.04.19	1.12346	1.12473	1.12321	1.12388	18040	0	3
2019.04.21	1.12419	1.12455	1.12368	1.12437	3660	0	3
2019.04.22	1.12438	1.12616	1.12354	1.12581	19491	0	3
2019.04.23	1.12581	1.12609	1.11918	1.12234	46044	0	2
2019.04.24	1.12238	1.12238	1.11401	1.11530	62234	0	2
2019.04.25	1.11530	1.11620	1.11173	1.11350	55809	0	3
2019.04.26	1.11350	1.11735	1.11105	1.11420	56049	0	3
2019.04.28	1.11446	1.11515	1.11390	1.11489	3585	0	2
2019.04.29	1.11489	1.11864	1.11446	1.11845	35659	0	2
2019.04.30	1.11845	1.12286	1.11753	1.12154	55570	0	3
2019.05.01	1.12154	1.12644	1.11867	1.12021	52896	0	2
2019.05.02	1.12020	1.12187	1.11703	1.11725	58885	0	3
2019.05.03	1.11725	1.12045	1.11346	1.12021	61471	0	4
2019.05.05	1.11756	1.12000	1.11670	1.11842	7489	0	5
2019.05.06	1.11842	1.12090	1.11787	1.12008	47870	0	3
2019.05.07	1.12007	1.12176	1.11662	1.11891	55223	0	4
2019.05.08	1.11891	1.12134	1.11823	1.11974	65674	0	3
2019.05.09	1.11974	1.12505	1.11730	1.12181	72089	0	5
2019.05.10	1.12182	1.12532	1.12173	1.12333	58901	0	3
2019.05.12	1.12336	1.12409	1.12296	1.12353	5045	0	5
2019.05.13	1.12353	1.12631	1.12183	1.12318	53334	0	2
2019.05.14	1.12318	1.12436	1.12008	1.12028	46017	0	2
