<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.06	1.13945	1.15698	1.13945	1.14626	367800	0	2
2019.01.13	1.14552	1.14893	1.13528	1.13655	349001	0	3
2019.01.20	1.13609	1.14172	1.12889	1.14051	335916	0	3
2019.01.27	1.14036	1.15139	1.13897	1.14529	367315	0	2
2019.02.03	1.14512	1.14600	1.13206	1.13217	262519	0	2
2019.02.10	1.13220	1.13410	1.12336	1.12905	292701	0	2
2019.02.17	1.12960	1.13707	1.12750	1.13303	300887	0	3
2019.02.24	1.13410	1.14192	1.13270	1.13626	319859	0	2
2019.03.03	1.13816	1.13848	1.11756	1.12324	306190	0	2
2019.03.10	1.12301	1.13439	1.12214	1.13237	296544	0	2
2019.03.17	1.13206	1.14477	1.12729	1.13006	305579	0	3
2019.03.24	1.12932	1.13310	1.12094	1.12166	350088	0	2
2019.03.31	1.12262	1.12543	1.11833	1.12152	282130	0	3
2019.04.07	1.12148	1.13235	1.12101	1.12981	239599	0	2
2019.04.14	1.13020	1.13234	1.12258	1.12388	227132	0	2
2019.04.21	1.12419	1.12616	1.11105	1.11420	243287	0	2
2019.04.28	1.11446	1.12644	1.11346	1.12021	268066	0	2
2019.05.05	1.11756	1.12532	1.11662	1.12333	307246	0	3
2019.05.12	1.12336	1.12631	1.11548	1.11565	253809	0	2
2019.05.19	1.11579	1.12118	1.11066	1.12044	235258	0	3
2019.05.26	1.12079	1.12150	1.11157	1.11676	227005	0	1
2019.06.02	1.11636	1.13474	1.11596	1.13322	327955	0	1
2019.06.09	1.13228	1.13430	1.12020	1.12103	258347	0	3
2019.06.16	1.12094	1.13773	1.11809	1.13699	320809	0	1
2019.06.23	1.13691	1.14116	1.13437	1.13693	293465	0	2
2019.06.30	1.13594	1.13708	1.12070	1.12248	225218	0	2
2019.07.07	1.12224	1.12857	1.11932	1.12699	216246	0	1
2019.07.14	1.12669	1.12838	1.11997	1.12194	222979	0	1
2019.07.21	1.12129	1.12252	1.11013	1.11270	205364	0	2
2019.07.28	1.11231	1.11620	1.10269	1.11050	319900	0	2
2019.08.04	1.11052	1.12495	1.11027	1.11998	388683	0	2
2019.08.11	1.11984	1.12306	1.10663	1.10893	350909	0	1
2019.08.18	1.10911	1.11531	1.10515	1.11386	273691	0	1
2019.08.25	1.11462	1.11639	1.09630	1.09893	382368	0	1
2019.09.01	1.09871	1.10846	1.09257	1.10245	323401	0	1
2019.09.08	1.10250	1.11094	1.09267	1.10697	247040	0	1
2019.09.15	1.10735	1.10863	1.09902	1.10187	246194	0	1
2019.09.22	1.10116	1.10253	1.09038	1.09411	238580	0	1
2019.09.29	1.09394	1.09992	1.08790	1.09772	241393	0	1
2019.10.06	1.09794	1.10627	1.09411	1.10360	245805	0	1
2019.10.13	1.10305	1.11702	1.09912	1.11689	238331	0	1
2019.10.20	1.11627	1.11793	1.10729	1.10794	174630	0	1
2019.10.27	1.10772	1.11756	1.10735	1.11648	180753	0	1
2019.11.03	1.11668	1.11753	1.10166	1.10189	183294	0	1
2019.11.10	1.10190	1.10567	1.09890	1.10515	149915	0	1
2019.11.17	1.10477	1.10969	1.10144	1.10182	154262	0	1
2019.11.24	1.10152	1.10320	1.09810	1.10152	135054	0	1
2019.12.01	1.10222	1.11161	1.10029	1.10595	155198	0	1
2019.12.08	1.10562	1.11993	1.10533	1.11173	191219	0	1
2019.12.15	1.11264	1.11745	1.10662	1.10751	162806	0	1
2019.12.22	1.10799	1.11882	1.10690	1.11760	105041	0	1
2019.12.29	1.11751	1.12392	1.11250	1.11558	158716	0	1
2020.01.05	1.11631	1.12054	1.10850	1.11212	181888	0	1
2020.01.12	1.11160	1.11726	1.10862	1.10893	145731	0	1
2020.01.19	1.10907	1.11180	1.10196	1.10255	148789	0	1
2020.01.26	1.10294	1.10951	1.09922	1.10943	163730	0	1
2020.02.02	1.10910	1.10927	1.09418	1.09430	169659	0	1
2020.02.09	1.09413	1.09574	1.08272	1.08301	154349	0	1
2020.02.16	1.08396	1.08634	1.07775	1.08474	171034	0	1
2020.02.23	1.08229	1.10531	1.08049	1.10293	351169	0	1
2020.03.01	1.10426	1.13546	1.10362	1.12901	387209	0	1
2020.03.08	1.13438	1.14964	1.10549	1.11025	853431	0	1
2020.03.15	1.11236	1.12364	1.06375	1.06935	1072870	0	1
2020.03.22	1.07030	1.11470	1.06346	1.11431	855945	0	1
2020.03.29	1.11179	1.11440	1.07727	1.08127	546550	0	1
2020.04.05	1.08121	1.09522	1.07682	1.09347	393832	0	1
2020.04.12	1.09381	1.09907	1.08119	1.08739	552667	0	1
2020.04.19	1.08682	1.08965	1.07269	1.08244	508930	0	1
2020.04.26	1.08193	1.10180	1.08096	1.09802	388890	0	1
2020.05.03	1.09695	1.09743	1.07664	1.08386	278831	0	1
2020.05.10	1.08249	1.08963	1.07748	1.08187	268341	0	1
2020.05.17	1.08081	1.10082	1.07998	1.09022	237553	0	1
2020.05.24	1.08961	1.11450	1.08706	1.11076	287760	0	1
2020.05.31	1.11131	1.13837	1.11000	1.12874	371651	0	1
2020.06.07	1.12943	1.14222	1.12125	1.12604	411169	0	1
2020.06.14	1.12338	1.13531	1.11681	1.11765	391989	0	1
2020.06.21	1.11786	1.13483	1.11684	1.12179	287450	0	1
2020.06.28	1.12208	1.13025	1.11847	1.12482	223768	0	1
2020.07.05	1.12432	1.13706	1.12406	1.12965	235418	0	1
2020.07.12	1.13020	1.14518	1.12997	1.14258	232842	0	1
2020.07.19	1.14146	1.16576	1.14021	1.16549	266221	0	1
2020.07.26	1.16424	1.19086	1.16389	1.17713	318703	0	1
2020.08.02	1.17701	1.19160	1.16957	1.17854	296028	0	1
2020.08.09	1.17870	1.18640	1.17109	1.18413	257147	0	1
2020.08.16	1.18387	1.19656	1.17542	1.17964	258322	0	1
2020.08.23	1.17922	1.19196	1.17621	1.19055	265490	0	1
2020.08.30	1.19006	1.20108	1.17808	1.18394	281229	0	1
2020.09.06	1.18418	1.19174	1.17528	1.18459	247182	0	1
2020.09.13	1.18338	1.19004	1.17374	1.18413	235120	0	1
2020.09.20	1.18433	1.18717	1.16122	1.16296	264023	0	1
2020.09.27	1.16198	1.17694	1.16151	1.17165	264263	0	1
2020.10.04	1.17110	1.18304	1.17050	1.18293	220867	0	1
2020.10.11	1.18121	1.18265	1.16882	1.17160	207515	0	1
2020.10.18	1.17156	1.18806	1.17030	1.18598	208389	0	1
2020.10.25	1.18519	1.18581	1.16398	1.16462	230946	0	1
2020.11.01	1.16467	1.18909	1.16019	1.18746	339583	0	1
2020.11.08	1.18830	1.19200	1.17455	1.18326	347458	0	1
2020.11.15	1.18305	1.18939	1.18141	1.18587	250496	0	1
2020.11.22	1.18513	1.19630	1.18000	1.19593	229078	0	1
2020.11.29	1.19585	1.21773	1.19236	1.21201	337722	0	1
2020.12.06	1.21219	1.21664	1.20585	1.21125	379804	0	1
2020.12.13	1.21300	1.22729	1.21156	1.22542	333658	0	1
2020.12.20	1.22226	1.22573	1.21296	1.21808	310854	0	1
2020.12.27	1.21862	1.23099	1.21696	1.22155	247781	0	1
2021.01.03	1.22287	1.23494	1.21932	1.22218	465806	0	1
2021.01.10	1.22128	1.22285	1.20750	1.20766	375403	0	1
2021.01.17	1.20743	1.21894	1.20536	1.21704	298083	0	1
2021.01.24	1.21621	1.21833	1.20586	1.21353	334193	0	1
2021.01.31	1.21268	1.21364	1.19522	1.20492	293393	0	1
2021.02.07	1.20367	1.21493	1.20197	1.21189	276760	0	1
2021.02.14	1.21189	1.21694	1.20234	1.21174	294171	0	1
2021.02.21	1.21151	1.22432	1.20622	1.20727	451665	0	1
2021.02.28	1.20699	1.21132	1.18928	1.19120	427171	0	1
2021.03.07	1.19132	1.19900	1.18356	1.19519	453723	0	1
2021.03.14	1.19453	1.19890	1.18738	1.19044	367252	0	1
2021.03.21	1.18745	1.19467	1.17619	1.17933	318270	0	1
2021.03.28	1.17911	1.17937	1.17041	1.17608	257672	0	1
2021.04.04	1.17538	1.19273	1.17382	1.19010	261966	0	1
2021.04.11	1.18885	1.19949	1.18712	1.19809	249434	0	1
2021.04.18	1.19695	1.21000	1.19426	1.20973	229717	0	1
2021.04.25	1.20897	1.21502	1.20166	1.20208	225490	0	1
2021.05.02	1.20236	1.21713	1.19860	1.21618	233125	0	1
2021.05.09	1.21600	1.21817	1.20515	1.21441	295712	0	1
2021.05.16	1.21371	1.22452	1.21260	1.21806	286038	0	1
2021.05.23	1.21774	1.22664	1.21327	1.21896	297986	0	1
2021.05.30	1.21949	1.22543	1.21041	1.21662	259329	0	1
2021.06.06	1.21590	1.22179	1.20927	1.21052	254597	0	1
2021.06.13	1.21038	1.21473	1.18459	1.18597	363652	0	1
2021.06.20	1.18544	1.19752	1.18477	1.19370	348967	0	1
2021.06.27	1.19324	1.19445	1.18071	1.18647	336094	0	1
2021.07.04	1.18586	1.18950	1.17817	1.18772	369086	0	1
2021.07.11	1.18724	1.18802	1.17719	1.18051	343174	0	1
2021.07.18	1.18044	1.18303	1.17519	1.17716	323219	0	1
2021.07.25	1.17687	1.19087	1.17635	1.18676	286320	0	1
2021.08.01	1.18631	1.18997	1.17544	1.17610	240261	0	1
2021.08.08	1.17571	1.18048	1.17061	1.17952	208567	0	1
2021.08.15	1.17955	1.18007	1.16640	1.16999	239365	0	1
2021.08.22	1.16952	1.18026	1.16897	1.17960	231887	0	1
2021.08.29	1.17942	1.19091	1.17829	1.18784	238202	0	1
2021.09.05	1.18794	1.18862	1.18022	1.18105	270690	0	1
2021.09.12	1.18119	1.18460	1.17242	1.17251	282998	0	1
2021.09.19	1.17273	1.17555	1.16835	1.17204	309575	0	1
2021.09.26	1.17237	1.17255	1.15626	1.15930	327061	0	1
2021.10.03	1.15966	1.16400	1.15292	1.15741	279640	0	1
2021.10.10	1.15686	1.16245	1.15242	1.15992	289733	0	1
2021.10.17	1.15969	1.16692	1.15717	1.16444	316427	0	1
2021.10.24	1.16380	1.16920	1.15353	1.15616	346367	0	1
2021.10.31	1.15626	1.16162	1.15134	1.15678	311214	0	1
