<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	1281.201	1290.130	1278.640	1286.670	48632	0	0
2019.01.03	1286.750	1297.010	1284.500	1296.780	59973	0	0
2019.01.04	1296.770	1298.520	1276.540	1284.762	58854	0	0
2019.01.06	1285.594	1285.983	1282.560	1284.880	4127	0	0
2019.01.07	1284.880	1295.030	1284.780	1288.990	47304	0	0
2019.01.08	1288.990	1290.180	1279.310	1285.270	44678	0	0
2019.01.09	1285.270	1293.900	1280.010	1293.130	51320	0	0
2019.01.10	1293.130	1297.030	1286.030	1287.880	43990	0	0
2019.01.11	1287.870	1295.120	1286.830	1287.514	36184	0	0
2019.01.13	1288.122	1289.630	1287.770	1289.000	3068	0	0
2019.01.14	1289.020	1295.790	1288.350	1291.160	38344	0	0
2019.01.15	1291.160	1294.590	1286.710	1290.600	44012	0	0
2019.01.16	1290.610	1294.950	1287.780	1293.890	38592	0	0
2019.01.17	1293.880	1295.330	1288.670	1291.060	38707	0	0
2019.01.18	1291.060	1292.340	1280.560	1281.522	35791	0	0
2019.01.20	1282.581	1283.470	1282.400	1283.380	3179	0	0
2019.01.21	1283.410	1283.470	1276.760	1279.340	23413	0	0
2019.01.22	1279.340	1285.479	1277.350	1284.420	35351	0	0
2019.01.23	1284.420	1286.470	1278.590	1284.370	30618	0	0
2019.01.24	1284.380	1284.710	1276.700	1280.790	35165	0	0
2019.01.25	1280.790	1303.910	1279.890	1303.153	39597	0	0
2019.01.27	1302.453	1302.567	1299.420	1301.130	3823	0	0
2019.01.28	1301.130	1304.470	1297.560	1304.350	31335	0	0
2019.01.29	1304.350	1311.969	1302.660	1311.240	37800	0	0
2019.01.30	1311.240	1323.370	1308.920	1317.970	46709	0	0
2019.01.31	1317.980	1326.250	1317.360	1321.370	44406	0	0
2019.02.01	1321.370	1323.440	1316.060	1317.696	39555	0	0
2019.02.03	1317.683	1317.930	1315.370	1315.580	3422	0	0
2019.02.04	1315.560	1315.780	1308.530	1312.180	33074	0	0
2019.02.05	1312.190	1316.770	1310.660	1315.160	31617	0	0
2019.02.06	1315.170	1315.630	1305.530	1306.690	30667	0	0
2019.02.07	1306.690	1311.900	1302.730	1310.460	35416	0	0
2019.02.08	1310.460	1315.600	1307.720	1313.996	28056	0	0
2019.02.10	1313.561	1313.970	1312.790	1312.820	2768	0	0
2019.02.11	1312.850	1314.800	1303.590	1307.100	32173	0	0
2019.02.12	1307.100	1314.680	1306.450	1309.690	33476	0	0
2019.02.13	1309.780	1318.110	1304.940	1307.810	39601	0	0
2019.02.14	1307.800	1314.310	1302.340	1312.390	44327	0	0
2019.02.15	1312.390	1322.573	1311.290	1321.133	38556	0	0
2019.02.17	1321.031	1322.230	1315.810	1321.550	3713	0	0
2019.02.18	1321.530	1327.610	1321.270	1325.350	25882	0	0
2019.02.19	1325.350	1341.810	1322.810	1340.470	42012	0	0
2019.02.20	1340.450	1346.660	1336.830	1340.340	45682	0	0
2019.02.21	1340.320	1341.430	1320.880	1325.240	48634	0	0
2019.02.22	1325.240	1333.050	1321.500	1327.836	40735	0	0
2019.02.24	1327.651	1329.560	1327.380	1329.550	3728	0	0
2019.02.25	1329.550	1332.510	1325.070	1327.220	39723	0	0
2019.02.26	1327.230	1330.150	1323.430	1328.710	38113	0	0
2019.02.27	1328.420	1329.891	1316.570	1320.570	34949	0	0
2019.02.28	1320.570	1327.220	1312.550	1313.260	45776	0	0
2019.03.01	1313.260	1315.170	1290.120	1293.327	44917	0	0
2019.03.03	1295.432	1296.197	1293.460	1294.590	3671	0	0
2019.03.04	1294.590	1296.960	1282.800	1286.350	41353	0	0
2019.03.05	1286.330	1289.550	1281.130	1288.150	39511	0	0
2019.03.06	1288.140	1290.860	1283.490	1287.530	37490	0	0
2019.03.07	1287.490	1288.990	1280.770	1286.390	41386	0	0
2019.03.08	1286.390	1300.690	1285.140	1298.315	43711	0	0
2019.03.10	1296.915	1298.310	1296.510	1298.210	3439	0	0
2019.03.11	1298.200	1299.040	1290.420	1293.330	33771	0	0
2019.03.12	1293.300	1304.380	1292.920	1304.090	33361	0	0
2019.03.13	1304.090	1311.190	1303.390	1308.220	32605	0	0
2019.03.14	1308.220	1308.610	1292.730	1295.560	35008	0	0
2019.03.15	1295.570	1306.360	1293.930	1302.255	32716	0	0
2019.03.17	1302.157	1302.345	1299.270	1299.270	4349	0	0
2019.03.18	1299.330	1306.670	1298.130	1304.850	30505	0	0
2019.03.19	1304.850	1310.870	1303.670	1304.680	34210	0	0
2019.03.20	1304.680	1316.980	1298.570	1316.000	42798	0	0
2019.03.21	1316.010	1320.350	1303.160	1308.550	41626	0	0
2019.03.22	1308.510	1314.920	1307.230	1313.268	41444	0	0
2019.03.24	1313.517	1313.817	1310.910	1313.560	4805	0	0
2019.03.25	1313.560	1324.490	1312.980	1320.810	37441	0	0
2019.03.26	1320.810	1322.130	1312.630	1317.260	35269	0	0
2019.03.27	1317.340	1319.270	1308.020	1310.440	50151	0	0
2019.03.28	1310.450	1312.240	1288.480	1291.810	42589	0	0
2019.03.29	1291.810	1299.710	1286.660	1292.101	35852	0	0
2019.03.31	1292.280	1293.234	1291.430	1291.750	3924	0	0
2019.04.01	1291.750	1296.970	1286.370	1287.350	35542	0	0
2019.04.02	1287.340	1292.830	1285.240	1291.730	26015	0	0
