<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.02	00:00:00	1281.201	1281.801	1279.961	1280.073	898	0	0
2019.01.02	01:00:00	1280.075	1280.215	1278.680	1279.822	1788	0	0
2019.01.02	02:00:00	1279.827	1282.654	1279.660	1282.654	1778	0	0
2019.01.02	03:00:00	1282.210	1284.050	1282.010	1283.920	1001	0	210
2019.01.02	04:00:00	1283.920	1286.440	1283.710	1286.200	1376	0	170
2019.01.02	05:00:00	1286.200	1287.310	1285.580	1285.820	1894	0	160
2019.01.02	06:00:00	1285.820	1286.430	1284.550	1285.450	2087	0	160
2019.01.02	07:00:00	1285.400	1288.640	1284.850	1287.990	2688	0	160
2019.01.02	08:00:00	1288.040	1288.700	1286.930	1286.980	2090	0	180
2019.01.02	09:00:00	1286.980	1287.870	1286.280	1287.290	1662	0	190
2019.01.02	10:00:00	1287.290	1287.590	1286.310	1286.430	1602	0	200
2019.01.02	11:00:00	1286.340	1286.340	1284.030	1285.440	2242	0	190
2019.01.02	12:00:00	1285.430	1287.350	1283.270	1284.220	3867	0	180
2019.01.02	13:00:00	1284.130	1285.070	1282.000	1283.600	3801	0	150
2019.01.02	14:00:00	1283.610	1287.020	1282.820	1285.770	3881	0	160
2019.01.02	15:00:00	1285.770	1287.630	1283.270	1285.190	3179	0	150
2019.01.02	16:00:00	1285.190	1286.490	1283.960	1284.020	1511	0	150
2019.01.02	17:00:00	1283.920	1284.050	1278.640	1279.270	2667	0	180
2019.01.02	18:00:00	1279.250	1281.490	1279.050	1281.490	1827	0	190
2019.01.02	19:00:00	1281.490	1283.300	1280.670	1283.170	1140	0	150
2019.01.02	20:00:00	1283.170	1284.940	1281.926	1283.161	1018	0	0
2019.01.02	21:00:00	1283.166	1284.946	1282.373	1284.496	1518	0	0
2019.01.02	22:00:00	1287.680	1290.130	1285.430	1285.800	1330	0	150
2019.01.02	23:00:00	1285.800	1287.350	1285.170	1286.670	1787	0	150
2019.01.03	00:00:00	1286.750	1288.510	1285.060	1288.270	2640	0	210
2019.01.03	01:00:00	1288.270	1289.610	1287.860	1288.470	1888	0	170
2019.01.03	02:00:00	1288.470	1288.840	1287.530	1287.840	1301	0	200
2019.01.03	03:00:00	1287.840	1288.760	1287.660	1288.350	969	0	200
2019.01.03	04:00:00	1288.350	1290.230	1287.660	1289.950	1518	0	210
2019.01.03	05:00:00	1289.950	1292.240	1289.370	1292.030	1730	0	190
2019.01.03	06:00:00	1292.030	1292.260	1288.480	1289.590	3861	0	190
2019.01.03	07:00:00	1289.590	1290.660	1288.090	1289.650	3746	0	150
2019.01.03	08:00:00	1289.710	1289.710	1287.270	1288.030	1948	0	180
2019.01.03	09:00:00	1288.030	1288.810	1286.900	1288.100	2046	0	190
2019.01.03	10:00:00	1288.100	1288.200	1286.040	1287.160	2303	0	210
2019.01.03	11:00:00	1287.160	1289.120	1287.000	1287.990	1698	0	180
2019.01.03	12:00:00	1287.990	1290.090	1284.500	1287.720	4795	0	150
2019.01.03	13:00:00	1287.720	1289.180	1286.760	1287.710	2878	0	150
2019.01.03	14:00:00	1287.710	1291.300	1287.440	1289.680	7308	0	150
2019.01.03	15:00:00	1289.710	1290.830	1288.250	1289.210	4603	0	160
2019.01.03	16:00:00	1289.210	1290.860	1288.900	1290.360	2500	0	170
2019.01.03	17:00:00	1290.360	1292.970	1290.030	1291.090	2631	0	150
2019.01.03	18:00:00	1291.090	1293.420	1290.990	1293.330	1340	0	160
2019.01.03	19:00:00	1293.330	1294.940	1292.160	1294.940	1773	0	150
2019.01.03	20:00:00	1294.960	1294.960	1293.464	1294.855	996	0	0
2019.01.03	21:00:00	1294.900	1294.900	1293.786	1294.144	1567	0	0
2019.01.03	22:00:00	1293.660	1295.250	1292.690	1295.150	1297	0	160
2019.01.03	23:00:00	1295.150	1297.010	1294.890	1296.780	2637	0	180
2019.01.04	00:00:00	1296.770	1298.520	1296.350	1296.920	3136	0	170
2019.01.04	01:00:00	1296.930	1298.050	1296.610	1296.710	1677	0	210
2019.01.04	02:00:00	1296.710	1296.840	1294.450	1295.510	2055	0	210
2019.01.04	03:00:00	1295.510	1295.590	1294.150	1294.410	1276	0	220
2019.01.04	04:00:00	1294.410	1296.230	1293.910	1295.430	1434	0	210
2019.01.04	05:00:00	1295.380	1295.730	1294.040	1294.260	1210	0	210
2019.01.04	06:00:00	1294.260	1295.050	1292.970	1294.530	2339	0	200
2019.01.04	07:00:00	1294.530	1295.270	1291.210	1291.740	2142	0	150
2019.01.04	08:00:00	1291.740	1292.530	1289.340	1290.060	2078	0	190
2019.01.04	09:00:00	1290.170	1291.070	1289.850	1291.050	1555	0	210
2019.01.04	10:00:00	1291.050	1292.090	1290.760	1291.250	1105	0	210
2019.01.04	11:00:00	1291.250	1291.660	1290.460	1291.070	1164	0	200
2019.01.04	12:00:00	1291.160	1291.660	1285.770	1287.610	6231	0	160
2019.01.04	13:00:00	1287.700	1287.700	1276.540	1277.770	7553	0	150
2019.01.04	14:00:00	1277.770	1284.580	1276.870	1283.560	7364	0	150
2019.01.04	15:00:00	1283.560	1285.710	1282.370	1285.490	5329	0	190
2019.01.04	16:00:00	1285.510	1286.090	1282.930	1284.300	3278	0	180
2019.01.04	17:00:00	1284.300	1285.090	1283.400	1283.430	2708	0	210
2019.01.04	18:00:00	1283.430	1284.400	1283.200	1284.210	2263	0	150
2019.01.04	19:00:00	1284.190	1285.800	1283.990	1284.880	1187	0	170
2019.01.04	20:00:00	1284.880	1285.345	1284.378	1284.930	797	0	0
2019.01.04	21:00:00	1284.922	1285.250	1284.557	1284.762	973	0	0
2019.01.06	00:00:00	1285.594	1285.983	1284.155	1284.244	1668	0	0
2019.01.06	22:00:00	1285.340	1285.750	1284.060	1284.170	967	0	190
2019.01.06	23:00:00	1284.170	1284.890	1282.560	1284.880	1492	0	200
2019.01.07	00:00:00	1284.880	1289.720	1284.780	1288.800	2483	0	150
2019.01.07	01:00:00	1288.730	1289.400	1288.150	1289.190	1534	0	190
2019.01.07	02:00:00	1289.190	1289.580	1288.710	1288.770	1104	0	220
2019.01.07	03:00:00	1288.770	1289.490	1288.490	1288.790	1417	0	200
2019.01.07	04:00:00	1288.790	1291.630	1288.790	1291.420	1490	0	150
2019.01.07	05:00:00	1291.420	1291.920	1288.630	1289.760	2087	0	180
2019.01.07	06:00:00	1289.800	1291.780	1289.450	1291.380	2767	0	160
2019.01.07	07:00:00	1291.380	1292.320	1289.740	1290.770	2369	0	180
2019.01.07	08:00:00	1290.780	1291.570	1290.380	1291.280	2039	0	200
2019.01.07	09:00:00	1291.310	1292.030	1290.440	1290.840	1507	0	190
2019.01.07	10:00:00	1290.840	1291.420	1290.410	1290.870	1238	0	200
2019.01.07	11:00:00	1290.740	1292.890	1290.740	1292.200	1875	0	210
2019.01.07	12:00:00	1292.250	1295.030	1292.040	1292.320	3141	0	190
2019.01.07	13:00:00	1292.310	1293.020	1290.560	1291.160	4050	0	160
2019.01.07	14:00:00	1291.200	1291.950	1286.650	1288.780	5195	0	150
2019.01.07	15:00:00	1288.770	1288.870	1286.130	1287.690	3200	0	150
2019.01.07	16:00:00	1287.690	1288.500	1287.260	1288.170	1970	0	170
2019.01.07	17:00:00	1288.160	1288.970	1287.560	1288.160	1956	0	190
2019.01.07	18:00:00	1288.120	1288.550	1287.760	1288.290	1072	0	200
2019.01.07	19:00:00	1288.310	1288.830	1286.730	1288.730	1146	0	160
2019.01.07	20:00:00	1288.730	1288.930	1288.300	1288.833	683	0	0
2019.01.07	21:00:00	1288.819	1289.189	1288.394	1289.189	947	0	0
2019.01.07	22:00:00	1289.160	1289.590	1288.750	1288.800	714	0	190
2019.01.07	23:00:00	1288.800	1289.030	1287.720	1288.990	1320	0	200
2019.01.08	00:00:00	1288.990	1290.180	1286.050	1286.230	2489	0	190
2019.01.08	01:00:00	1286.210	1287.010	1284.930	1285.170	2138	0	190
2019.01.08	02:00:00	1285.160	1285.600	1283.300	1283.740	1391	0	180
2019.01.08	03:00:00	1283.740	1283.850	1282.440	1282.930	1332	0	210
2019.01.08	04:00:00	1282.930	1283.140	1281.750	1282.970	1507	0	210
2019.01.08	05:00:00	1282.970	1284.710	1282.780	1283.330	1886	0	190
2019.01.08	06:00:00	1283.240	1283.330	1281.620	1282.680	3007	0	200
2019.01.08	07:00:00	1282.680	1283.730	1282.230	1283.050	2459	0	190
2019.01.08	08:00:00	1283.040	1284.020	1282.850	1283.460	1802	0	200
2019.01.08	09:00:00	1283.460	1283.790	1282.060	1283.460	1814	0	180
2019.01.08	10:00:00	1283.390	1283.550	1282.670	1283.260	1152	0	220
2019.01.08	11:00:00	1283.260	1284.020	1281.820	1282.370	1764	0	190
2019.01.08	12:00:00	1282.370	1282.990	1279.310	1280.620	3958	0	180
2019.01.08	13:00:00	1280.540	1286.080	1280.330	1284.900	3221	0	150
2019.01.08	14:00:00	1284.850	1286.260	1282.460	1284.990	3719	0	160
2019.01.08	15:00:00	1284.990	1285.120	1283.820	1284.350	2527	0	160
2019.01.08	16:00:00	1284.330	1286.930	1283.830	1286.350	1798	0	150
2019.01.08	17:00:00	1286.350	1286.850	1284.440	1284.890	1179	0	170
2019.01.08	18:00:00	1284.890	1285.290	1284.150	1285.090	669	0	150
2019.01.08	19:00:00	1285.010	1285.260	1284.210	1285.240	803	0	180
2019.01.08	20:00:00	1285.240	1285.440	1284.900	1285.305	788	0	0
2019.01.08	21:00:00	1285.310	1285.469	1284.983	1285.273	931	0	0
2019.01.08	22:00:00	1284.620	1285.160	1284.620	1285.080	775	0	240
2019.01.08	23:00:00	1285.080	1286.090	1284.650	1285.270	1569	0	240
2019.01.09	00:00:00	1285.270	1287.040	1285.040	1285.750	2137	0	210
2019.01.09	01:00:00	1285.750	1286.090	1284.010	1284.030	1962	0	210
2019.01.09	02:00:00	1284.020	1284.380	1283.200	1283.200	1440	0	190
2019.01.09	03:00:00	1283.200	1283.200	1281.610	1282.070	1485	0	210
2019.01.09	04:00:00	1282.110	1283.260	1281.510	1282.510	1702	0	200
2019.01.09	05:00:00	1282.500	1282.950	1281.170	1282.240	1511	0	180
2019.01.09	06:00:00	1282.240	1283.530	1281.750	1282.400	1351	0	200
2019.01.09	07:00:00	1282.440	1283.290	1282.260	1282.680	1847	0	190
2019.01.09	08:00:00	1282.700	1282.760	1280.590	1281.110	1640	0	190
2019.01.09	09:00:00	1281.110	1281.590	1280.060	1280.790	1615	0	210
2019.01.09	10:00:00	1280.860	1281.720	1280.360	1281.560	1096	0	160
2019.01.09	11:00:00	1281.560	1281.640	1280.010	1281.460	1205	0	200
2019.01.09	12:00:00	1281.480	1285.470	1281.480	1284.590	3321	0	180
2019.01.09	13:00:00	1284.560	1289.710	1284.300	1288.370	5207	0	150
2019.01.09	14:00:00	1288.280	1291.740	1288.170	1290.010	5536	0	180
2019.01.09	15:00:00	1290.010	1290.710	1287.650	1288.490	4286	0	180
2019.01.09	16:00:00	1288.470	1290.000	1287.680	1289.880	1992	0	210
2019.01.09	17:00:00	1289.880	1291.690	1289.500	1290.830	2011	0	190
2019.01.09	18:00:00	1290.830	1293.410	1289.730	1291.640	4336	0	150
2019.01.09	19:00:00	1291.640	1293.900	1291.390	1293.610	1462	0	150
2019.01.09	20:00:00	1293.630	1293.710	1292.664	1293.670	953	0	0
2019.01.09	21:00:00	1293.660	1293.732	1292.931	1293.190	1225	0	0
2019.01.09	22:00:00	1292.980	1293.310	1292.490	1292.890	797	0	150
2019.01.09	23:00:00	1292.890	1293.470	1291.930	1293.130	1203	0	170
2019.01.10	00:00:00	1293.130	1293.630	1291.540	1292.550	2578	0	170
2019.01.10	01:00:00	1292.550	1294.830	1292.550	1294.670	1339	0	200
2019.01.10	02:00:00	1294.670	1297.030	1294.670	1296.880	1658	0	170
2019.01.10	03:00:00	1296.880	1296.980	1295.570	1295.680	1069	0	210
2019.01.10	04:00:00	1295.680	1296.750	1295.540	1296.190	1163	0	170
2019.01.10	05:00:00	1296.180	1296.690	1294.760	1295.150	1460	0	150
2019.01.10	06:00:00	1295.150	1296.470	1294.950	1295.360	2206	0	180
2019.01.10	07:00:00	1295.390	1296.950	1294.360	1294.470	2030	0	190
2019.01.10	08:00:00	1294.470	1294.660	1291.960	1292.960	1863	0	150
2019.01.10	09:00:00	1292.960	1293.250	1291.490	1292.950	1662	0	170
2019.01.10	10:00:00	1292.950	1294.290	1292.750	1293.040	1384	0	200
2019.01.10	11:00:00	1293.040	1293.890	1292.450	1293.890	1225	0	160
2019.01.10	12:00:00	1293.890	1294.590	1289.730	1289.810	3301	0	160
2019.01.10	13:00:00	1289.810	1292.310	1289.040	1291.710	3455	0	150
2019.01.10	14:00:00	1291.710	1292.230	1289.430	1290.060	3452	0	150
2019.01.10	15:00:00	1290.060	1290.070	1288.090	1288.990	3063	0	160
2019.01.10	16:00:00	1289.000	1289.200	1287.480	1287.880	2253	0	160
2019.01.10	17:00:00	1287.880	1288.680	1286.420	1287.740	2432	0	160
2019.01.10	18:00:00	1287.740	1287.850	1286.640	1287.450	1372	0	170
2019.01.10	19:00:00	1287.450	1287.460	1286.060	1286.220	1004	0	180
2019.01.10	20:00:00	1286.220	1286.815	1286.030	1286.296	938	0	0
2019.01.10	21:00:00	1286.300	1286.731	1286.167	1286.445	1243	0	0
2019.01.10	22:00:00	1286.750	1288.040	1286.720	1287.900	706	0	150
2019.01.10	23:00:00	1287.900	1288.590	1287.500	1287.880	1134	0	210
2019.01.11	00:00:00	1287.870	1290.150	1287.850	1289.750	1926	0	160
2019.01.11	01:00:00	1289.750	1291.260	1289.340	1290.950	1282	0	150
2019.01.11	02:00:00	1290.970	1291.630	1290.740	1291.270	807	0	180
2019.01.11	03:00:00	1291.250	1292.850	1291.080	1292.730	1075	0	200
2019.01.11	04:00:00	1292.730	1294.260	1292.450	1293.880	1396	0	160
2019.01.11	05:00:00	1293.880	1294.390	1291.670	1293.080	1749	0	170
2019.01.11	06:00:00	1293.080	1294.540	1292.840	1293.550	2022	0	170
2019.01.11	07:00:00	1293.550	1295.120	1292.100	1292.840	1505	0	160
2019.01.11	08:00:00	1292.840	1293.520	1292.000	1292.200	1546	0	200
2019.01.11	09:00:00	1292.200	1293.540	1292.000	1293.110	1678	0	200
2019.01.11	10:00:00	1293.110	1293.120	1291.150	1291.440	1192	0	170
2019.01.11	11:00:00	1291.440	1293.450	1291.300	1291.990	1355	0	170
