<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.06	1285.594	1297.030	1279.310	1287.514	227603	0	0
2019.01.13	1288.122	1295.790	1280.560	1281.522	198514	0	0
2019.01.20	1282.581	1303.910	1276.700	1303.153	167323	0	0
2019.01.27	1302.453	1326.250	1297.560	1317.696	203628	0	0
2019.02.03	1317.683	1317.930	1302.730	1313.996	162252	0	0
2019.02.10	1313.561	1322.573	1302.340	1321.133	190901	0	0
2019.02.17	1321.031	1346.660	1315.810	1327.836	206658	0	0
2019.02.24	1327.651	1332.510	1290.120	1293.327	207206	0	0
2019.03.03	1295.432	1300.690	1280.770	1298.315	207122	0	0
2019.03.10	1296.915	1311.190	1290.420	1302.255	170900	0	0
2019.03.17	1302.157	1320.350	1298.130	1313.268	194932	0	0
2019.03.24	1313.517	1324.490	1286.660	1292.101	206107	0	0
2019.03.31	1292.280	1296.970	1280.880	1291.420	147616	0	0
2019.04.07	1292.294	1310.530	1289.530	1290.478	168599	0	0
2019.04.14	1291.345	1291.949	1271.090	1275.639	135489	0	0
2019.04.21	1275.720	1288.670	1266.210	1285.923	158907	0	0
2019.04.28	1286.024	1287.230	1266.200	1279.026	189803	0	0
2019.05.05	1282.629	1291.440	1276.930	1285.730	222652	0	0
2019.05.12	1287.259	1303.230	1274.720	1277.693	195345	0	0
2019.05.19	1278.399	1287.270	1269.410	1284.850	166449	0	0
2019.05.26	1285.465	1306.920	1274.950	1305.531	186362	0	0
2019.06.02	1306.724	1348.230	1306.490	1340.749	278105	0	0
2019.06.09	1334.719	1358.120	1319.830	1341.266	255461	0	0
2019.06.16	1341.860	1411.760	1332.930	1399.503	417325	0	0
2019.06.23	1400.458	1439.210	1398.590	1409.726	483010	0	0
2019.06.30	1393.141	1437.730	1381.660	1398.788	392198	0	0
2019.07.07	1399.328	1427.070	1385.690	1415.395	303277	0	0
2019.07.14	1416.670	1452.920	1400.010	1425.451	330366	0	0
2019.07.21	1426.678	1433.730	1411.000	1418.392	304654	0	0
2019.07.28	1420.788	1447.930	1400.440	1440.821	362342	0	0
2019.08.04	1440.353	1510.330	1436.670	1497.186	538064	0	0
2019.08.11	1496.242	1534.950	1479.770	1513.036	547474	0	0
2019.08.18	1509.723	1530.200	1492.430	1526.701	370661	0	0
2019.08.25	1546.359	1555.210	1516.930	1520.297	510905	0	0
2019.09.01	1529.580	1556.980	1502.470	1506.787	464525	0	0
2019.09.08	1505.094	1524.130	1484.450	1488.740	407316	0	0
2019.09.15	1500.643	1517.010	1482.970	1516.351	360596	0	0
2019.09.22	1512.905	1535.630	1486.790	1496.810	401311	0	0
2019.09.29	1496.516	1519.480	1459.030	1504.463	453901	0	0
2019.10.06	1508.388	1516.980	1473.930	1488.167	518252	0	0
2019.10.13	1486.869	1498.530	1476.960	1490.452	410155	0	0
2019.10.20	1492.037	1517.930	1480.780	1504.427	356966	0	0
2019.10.27	1502.760	1516.090	1481.080	1514.173	378766	0	0
2019.11.03	1512.887	1514.770	1456.120	1458.992	412269	0	0
2019.11.10	1460.356	1474.550	1445.570	1467.768	386290	0	0
2019.11.17	1468.012	1478.750	1456.280	1462.035	379723	0	0
2019.11.24	1460.639	1466.530	1450.020	1463.963	260354	0	0
2019.12.01	1462.652	1484.010	1453.890	1459.904	353078	0	0
2019.12.08	1458.766	1486.690	1458.480	1475.665	358238	0	0
2019.12.15	1474.988	1481.640	1470.380	1477.965	264945	0	0
2019.12.22	1477.995	1515.290	1477.460	1510.962	223148	0	0
2019.12.29	1511.358	1553.430	1510.700	1551.932	320509	0	0
2020.01.05	1576.398	1611.350	1540.200	1562.006	555574	0	0
2020.01.12	1559.763	1561.210	1535.960	1557.379	371647	0	0
2020.01.19	1558.996	1575.950	1546.300	1571.382	356783	0	0
2020.01.26	1581.283	1590.480	1563.350	1588.874	469727	0	0
2020.02.02	1588.593	1592.066	1547.380	1570.194	435283	0	0
2020.02.09	1569.307	1585.010	1561.920	1584.040	363433	0	0
2020.02.16	1581.493	1649.230	1578.850	1643.367	420439	0	0
