symbol,timeframe,rank,lookback,min_rr,atr_sl,total_trades,avg_r,total_r,win_rate,max_dd_r
BTCUSD,H1,1,50,1.5,1.5,54,-0.486,-26.23,33.3,35.14
BTCUSD,H1,2,50,1.5,2.0,46,-0.58,-26.7,32.6,29.85
BTCUSD,H1,3,50,2.0,1.5,49,-0.602,-29.48,30.6,36.85
BTCUSD,H1,4,50,3.0,1.0,41,-0.725,-29.73,24.4,33.29
BTCUSD,H1,5,50,1.5,1.0,60,-0.768,-46.1,23.3,51.73
XAUUSD,H1,1,100,1.5,1.0,150,0.064,9.66,37.3,26.98
XAUUSD,H1,2,100,2.0,1.0,150,0.064,9.66,37.3,26.98
XAUUSD,H1,3,100,2.5,1.0,150,0.064,9.66,37.3,26.98
XAUUSD,H1,4,100,3.0,1.0,129,0.03,3.85,36.4,24.11
XAUUSD,H1,5,200,3.0,1.0,121,0.016,1.98,36.4,22.92
EURUSD,H1,1,200,1.5,1.0,1171,0.152,178.34,31.6,27.93
EURUSD,H1,2,200,2.0,1.0,1171,0.152,178.34,31.6,27.93
EURUSD,H1,3,200,2.5,1.0,1171,0.152,178.34,31.6,27.93
EURUSD,H1,4,100,1.5,1.0,1154,0.14,162.11,31.3,32.32
EURUSD,H1,5,100,2.0,1.0,1154,0.14,162.11,31.3,32.32
EURUSD,H4,1,50,1.5,1.0,210,0.265,55.71,33.3,12.56
EURUSD,H4,2,50,2.0,1.0,210,0.265,55.71,33.3,12.56
EURUSD,H4,3,50,2.5,1.0,210,0.265,55.71,33.3,12.56
EURUSD,H4,4,50,3.0,1.0,176,0.225,39.66,32.4,14.12
EURUSD,H4,5,50,2.0,1.5,174,0.125,21.81,39.1,15.73
